eventDate,CONML,CONM,With_Twitter_account,twitter_acc_company_name,twitter_account_name,code
21/12/15,Agilent Technologies Inc,AGILENT TECHNOLOGIES INC,Yes,Agilent Technologies,@Agilent,87432
6/3/13,Agilent Technologies Inc,AGILENT TECHNOLOGIES INC,Yes,Agilent Technologies,@Agilent,87432
2/8/13,Agilysys Inc,AGILYSYS INC,Yes,Agilysys Inc.,@agilysys,63125
3/11/16,Air Methods Corp,AIR METHODS CORP,Yes,Air Methods,@AirMethodsCorp,11641
26/2/16,Air Methods Corp,AIR METHODS CORP,Yes,Air Methods,@AirMethodsCorp,11641
12/11/13,Akamai Technologies Inc,AKAMAI TECHNOLOGIES INC,Yes,Akamai Technologies,@Akamai,87299
9/8/13,Akamai Technologies Inc,AKAMAI TECHNOLOGIES INC,Yes,Akamai Technologies,@Akamai,87299
14/3/16,Akebia Therapeutics Inc,AKEBIA THERAPEUTICS INC,Yes,Akebia Therapeutics,@akebiatx,14531
14/11/17,Akoustis Technologies Inc,AKOUSTIS TECHNOLOGIES INC,Yes,"Akoustis, Inc.",@AkoustisInc,16625
29/2/16,Alarm.com Holdings Inc,ALARM.COM HOLDINGS INC,Yes,Alarm.com,@AlarmDotCom,15409
20/2/14,Alaska Communications System,ALASKA COMMUNICATIONS SYS G,Yes,Alaska Communication,@AlaskaComm,87373
27/2/15,Albany International Corp.,ALBANY INTL CORP  -CL A,Yes,Albany International,@albint_corp,11731
11/8/14,Albany Molecular Research In,ALBANY MOLECULAR RESH INC,Yes,AMRI,@amriglobal,86709
15/3/17,Alcoa Corp,ALCOA CORP,Yes,Alcoa,@Alcoa,16347
1/12/16,Alcoa Corp,ALCOA CORP,Yes,Alcoa,@Alcoa,16347
5/5/16,Alico Inc,ALICO INC,Yes,"Alico, Inc.",@AlicoInc,11790
30/7/14,Allegion Plc,ALLEGION PLC,Yes,Allegion,@AllegionPlc,14297
30/4/14,Allegion Plc,ALLEGION PLC,Yes,Allegion,@AllegionPlc,14297
11/5/15,Allergan PLC,ALLERGAN PLC,Yes,Allergan plc,@Allergan,78916
29/4/16,Alliance HealthCare Services,ALLIANCE HEALTHCARE SVCS IN,Yes,Alliance HealthCare,@AIQ,89048
26/10/16,AllianceBernstein Holding LP,ALLIANCEBERNSTEIN HOLDING L,Yes,AllianceBernstein (A,@AB_insights,75278
13/3/17,Allied Motion Technologies I,ALLIED MOTION TECHNOLOGIES,Yes,Allied Motion,@alliedmotion1,41188
26/4/16,Allison Transmission Holding,ALLISON TRANSMISSION HLDGS,Yes,Allison Transmission,@AllisonTrans,13284
10/5/16,Alpha and Omega Semiconducto,ALPHA AND OMEGA SEMICONDUCT,Yes,Alpha and Omega Semi,@AlphaOmega_Semi,93340
3/11/16,Alphabet Inc,ALPHABET INC,Yes,Alphabet Inc,@Alphabetlnc,90319
29/10/15,Alphabet Inc,ALPHABET INC,Yes,Alphabet Inc,@Alphabetlnc,90319
24/2/17,Alteryx Inc,ALTERYX INC,Yes,Alteryx,@alteryx,16597
29/7/14,Altisource Portfolio Solutio,ALTISOURCE PORTFOLIO SOLTNS,Yes,Altisource,@Altisource,92981
11/12/17,Amedica Corp,AMEDICA CORP,Yes,Amedica,@AmedicaCorp,14444
19/4/17,Amedica Corp,AMEDICA CORP,Yes,Amedica,@AmedicaCorp,14444
2/3/17,Ameresco Inc,AMERESCO INC,Yes,"Ameresco, Inc.",@Ameresco,10158
17/3/14,Ameresco Inc,AMERESCO INC,Yes,"Ameresco, Inc.",@Ameresco,10158
28/2/13,Ameresco Inc,AMERESCO INC,Yes,"Ameresco, Inc.",@Ameresco,10158
23/2/15,American Axle & Manufacturin,AMERICAN AXLE & MFG HOLDING,Yes,AAM,@AmericanAxle,86547
3/3/14,American Equity Investment L,AMERICAN EQTY INVT LIFE HLD,Yes,American Equity,@AmericanEquity,89946
7/3/13,American Equity Investment L,AMERICAN EQTY INVT LIFE HLD,Yes,American Equity,@AmericanEquity,89946
26/7/16,American Express Co,AMERICAN EXPRESS CO,Yes,American Express,@AmericanExpress,59176
24/2/15,American Express Co,AMERICAN EXPRESS CO,Yes,American Express,@AmericanExpress,59176
29/4/15,American Express Co,AMERICAN EXPRESS CO,Yes,American Express,@AmericanExpress,59176
22/2/13,American Express Co,AMERICAN EXPRESS CO,Yes,American Express,@AmericanExpress,59176
3/11/14,American International Group,AMERICAN INTERNATIONAL GROU,Yes,AIG,@AIGinsurance,66800
7/3/16,American Midstream Partners,AMERICAN MIDSTREAM PTNRS LP,Yes,American Midstream,@AMIDCareers,12892
12/5/14,American Midstream Partners,AMERICAN MIDSTREAM PTNRS LP,Yes,American Midstream,@AMIDCareers,12892
26/11/14,Amerigas Partners LP,AMERIGAS PARTNERS  -LP,Yes,AmeriGas Propane,@AmeriGas,81521
23/2/17,Ameriprise Financial Inc,AMERIPRISE FINANCIAL INC,Yes,Ameriprise Financial,@ameriprise,90880
22/11/16,AmerisourceBergen Corp,AMERISOURCEBERGEN CORP,Yes,AmerisourceBergen,@Healthcare_ABC,81540
1/8/16,Amkor Technology Inc,AMKOR TECHNOLOGY INC,Yes,Amkor Technology,@AmkorTechnology,86047
8/8/14,Ampio Pharmaceuticals Inc,AMPIO PHARMACEUTICALS INC,Yes,Ampio Pharmaceutical,@AmpioPharmaInc,12789
29/3/16,Ampliphi Biosciences Corp,AMPLIPHI BIOSCIENCES CORP,Yes,AmpliPhi Biosciences,@AmpliPhiBio,80577
9/3/15,Ampliphi Biosciences Corp,AMPLIPHI BIOSCIENCES CORP,Yes,AmpliPhi Biosciences,@AmpliPhiBio,80577
15/8/14,Ampliphi Biosciences Corp,AMPLIPHI BIOSCIENCES CORP,Yes,AmpliPhi Biosciences,@AmpliPhiBio,80577
31/3/14,Ampliphi Biosciences Corp,AMPLIPHI BIOSCIENCES CORP,Yes,AmpliPhi Biosciences,@AmpliPhiBio,80577
4/2/14,Ampliphi Biosciences Corp,AMPLIPHI BIOSCIENCES CORP,Yes,AmpliPhi Biosciences,@AmpliPhiBio,80577
27/2/17,AmTrust Financial Services I,AMTRUST FINANCIAL SERVICES,Yes,AmTrust Insurance,@AmTrustInsured,91603
10/5/16,AmTrust Financial Services I,AMTRUST FINANCIAL SERVICES,Yes,AmTrust Insurance,@AmTrustInsured,91603
3/3/14,AmTrust Financial Services I,AMTRUST FINANCIAL SERVICES,Yes,AmTrust Insurance,@AmTrustInsured,91603
29/10/13,Anaren Inc,ANAREN INC,Yes,"Anaren, A TTM Techno",@AnarenInc,14227
29/12/15,Anavex Life Sciences Corp,ANAVEX LIFE SCIENCES CORP,Yes,Anavex Life Sciences,@AnavexLifeSci,15776
1/8/16,AngioDynamics Inc,ANGIODYNAMICS INC,Yes,"AngioDynamics, Inc.",@angiodynamics,90179
9/10/14,AngioDynamics Inc,ANGIODYNAMICS INC,Yes,"AngioDynamics, Inc.",@angiodynamics,90179
14/8/14,AngioDynamics Inc,ANGIODYNAMICS INC,Yes,"AngioDynamics, Inc.",@angiodynamics,90179
14/3/14,Ann Inc,ANN INC,Yes,Ann Taylor,@AnnTaylor,76671
8/3/13,Ann Inc,ANN INC,Yes,Ann Taylor,@AnnTaylor,76671
10/2/17,Aon plc,AON PLC,Yes,Aon,@Aon_plc,61735
24/2/17,Apache Corp,APACHE CORP,Yes,Apache Corporation,@ApacheCorp,39490
20/12/17,Apellis Pharmaceuticals Inc,APELLIS PHARMACEUTICALS,Yes,Apellis Pharma,@ApellisPharma,17104
10/2/15,API Technologies Corp,API TECHNOLOGIES CORP,Yes,API Technologies,@apitechnologies,12881
12/2/14,API Technologies Corp,API TECHNOLOGIES CORP,Yes,API Technologies,@apitechnologies,12881
7/11/17,Applied Genetic Technologies,APPLIED GENETIC TECHNOLOGIE,Yes,AGTC,@AGTC_,14528
2/8/17,AptarGroup Inc.,APTARGROUP INC,Yes,Aptar,@aptar,79133
27/2/17,AptarGroup Inc.,APTARGROUP INC,Yes,Aptar,@aptar,79133
5/11/15,AptarGroup Inc.,APTARGROUP INC,Yes,Aptar,@aptar,79133
12/3/15,Aratana Therapeutics Inc,ARATANA THERAPEUTICS,Yes,Aratana Therapeutics,@AratanaRx,13966
26/2/16,Arbor Realty Trust Inc.,ARBOR REALTY TRUST INC,Yes,Arbor Realty Trust,@arbor1,90102
5/5/17,ARC Document Solutions Inc,ARC DOCUMENT SOLUTIONS INC,Yes,ARC Doc. Solutions,@ARCDocSolutions,90548
14/5/15,Arista Networks Inc,ARISTA NETWORKS INC,Yes,Arista Networks,@AristaNetworks,14714
31/3/14,Arista Networks Inc,ARISTA NETWORKS INC,Yes,Arista Networks,@AristaNetworks,14714
31/7/15,Arthur J. Gallagher & Co.,ARTHUR J GALLAGHER & CO,Yes,Gallagher,@GallagherGlobal,38093
21/11/16,Ashland Global Holdings Inc,ASHLAND GLOBAL HOLDINGS INC,Yes,Ashland,@AshlandInc,24272
16/3/15,Assembly Biosciences Inc,ASSEMBLY BIOSCIENCES INC,Yes,Asssembly Bioscience,@AssemblyBio,12497
15/5/15,Astea International Inc,ASTEA INTERNATIONAL INC,Yes,Astea International,@AsteaService,81850
29/2/16,Astec Industries Inc.,ASTEC INDUSTRIES INC,Yes,Astec Industries,@astecindustries,10382
22/10/13,Astec Industries Inc.,ASTEC INDUSTRIES INC,Yes,Astec Industries,@astecindustries,10382
7/8/17,Atlas Financial Holdings Inc,ATLAS FINANCIAL HOLDINGS IN,Yes,Atlas Financial,@AtlasFin,13789
10/11/14,Atlas Financial Holdings Inc,ATLAS FINANCIAL HOLDINGS IN,Yes,Atlas Financial,@AtlasFin,13789
14/11/16,Atmos Energy Corp,ATMOS ENERGY CORP,Yes,Atmos Energy,@atmosenergy,32986
21/3/17,Atossa Genetics Inc,ATOSSA GENETICS INC,Yes,Atossa Genetics,@AtossaGenetics,13693
19/11/15,Autodesk Inc.,AUTODESK INC,Yes,Autodesk,@autodesk,85631
1/4/16,Avangrid Inc,AVANGRID INC,Yes,AVANGRID,@AVANGRID,15859
11/3/13,AVEO Pharmaceuticals Inc,AVEO PHARMACEUTICALS INC,Yes,AVEO Oncology,@AVEOoncology,93301
1/11/16,Avery Dennison Corp,AVERY DENNISON CORP,Yes,Avery Dennison,@AveryDennison,44601
3/11/15,Avery Dennison Corp,AVERY DENNISON CORP,Yes,Avery Dennison,@AveryDennison,44601
31/7/14,Avery Dennison Corp,AVERY DENNISON CORP,Yes,Avery Dennison,@AveryDennison,44601
10/2/16,Aviat Networks Inc,AVIAT NETWORKS INC,Yes,Aviat Networks,@AviatNetworks,91836
1/10/15,Aviat Networks Inc,AVIAT NETWORKS INC,Yes,Aviat Networks,@AviatNetworks,91836
13/5/15,Aviat Networks Inc,AVIAT NETWORKS INC,Yes,Aviat Networks,@AviatNetworks,91836
19/3/13,Avid Technology Inc.,AVID TECHNOLOGY INC,Yes,Avid,@Avid,78955
26/2/13,Avista Corp,AVISTA CORP,Yes,Avista Utilities,@AvistaUtilities,24969
25/3/13,Aviva PLC,AVIVA PLC,Yes,Aviva plc,@avivaplc,93053
4/5/17,Avon Products Inc.,AVON PRODUCTS,Yes,Avon,@AvonInsider,40416
30/4/15,Avon Products Inc.,AVON PRODUCTS,Yes,Avon,@AvonInsider,40416
1/5/14,Avon Products Inc.,AVON PRODUCTS,Yes,Avon,@AvonInsider,40416
3/8/17,Axalta Coating Systems Ltd,AXALTA COATING SYSTEMS LTD,Yes,Axalta,@Axalta,15053
14/10/14,Axalta Coating Systems Ltd,AXALTA COATING SYSTEMS LTD,Yes,Axalta,@Axalta,15053
2/8/16,Axcelis Technologies Inc.,AXCELIS TECHNOLOGIES INC,Yes,Axcelis Technologies,@AxcelisNews,88417
8/5/14,Axiall Corp,AXIALL CORP,Yes,Westlake Chemical,@WESTLAKECHEM,75222
28/2/14,Axiall Corp,AXIALL CORP,Yes,Westlake Chemical,@WESTLAKECHEM,75222
6/6/16,Axovant Sciences Ltd,AXOVANT SCIENCES LTD,Yes,Axovant Sciences,@axovant,15486
16/6/16,AzurRx BioPharma Inc,AZURRX BIOPHARMA INC,Yes,AzurRx BioPharma,@azurrx,16377
2/3/17,Ball Corp,BALL CORP,Yes,Ball Corporation,@BallCorpHQ,57568
11/8/14,Ball Corp,BALL CORP,Yes,Ball Corporation,@BallCorpHQ,57568
16/3/15,Bancorp Inc (The),BANCORP INC,Yes,The Bancorp,@thebancorp,90490
30/10/15,Bank of America Corp,BANK OF AMERICA CORP,Yes,Bank of America,@BankofAmerica,59408
